"id","cat_id","cidade_name","last_mod"
"79","7","European Low-Alcohol Lager","2010-06-15 19:36:02"
"80","7","Munchner-cidade Helles","2010-06-15 19:39:29"
"81","7","Dortmunder/European-cidade Export","2010-06-15 19:36:27"
"82","7","Vienna-cidade Lager","2010-06-15 19:36:34"
"83","7","German-cidade Marzen","2010-07-08 17:59:32"
"84","7","German-cidade Oktoberfest","2010-06-15 19:37:01"
"85","7","European-cidade Dark","2010-06-15 19:37:09"
"86","7","German-cidade Schwarzbier","2010-06-15 19:37:36"
"87","7","Bamberg-cidade Marzen","2010-07-08 17:59:39"
"88","7","Bamberg-cidade Helles Rauchbier","2010-06-15 19:37:50"
"89","7","Bamberg-cidade Bock Rauchbier","2010-06-15 19:37:58"
"90","7","Traditional German-cidade Bock","2010-06-15 19:38:06"
"91","7","German-cidade Heller Bock/Maibock","2010-06-15 19:38:15"
"92","7","German-cidade Doppelbock","2010-06-15 19:38:22"
"93","7","German-cidade Eisbock","2010-06-15 19:38:30"
"94","7","Kellerbier - Lager","2010-06-15 19:38:49"
"95","8","American-cidade Lager","2010-06-15 19:40:43"
"96","8","American-cidade Light Lager","2010-06-15 19:40:46"
"97","8","American-cidade Low-Carb Light Lager","2010-06-15 19:41:05"
"98","8","American-cidade Amber Lager","2010-06-15 19:41:18"
"99","8","American-cidade Premium Lager","2010-06-15 19:41:26"
"100","8","American-cidade Pilsener","2010-06-15 19:41:33"
"101","8","American-cidade Ice Lager","2010-06-15 19:41:43"
"102","8","American-cidade Malt Liquor","2010-06-15 19:41:51"
"103","8","American-cidade Amber Lager","2010-06-15 19:41:58"
"104","8","American-cidade Marzen/Oktoberfest","2010-06-15 19:44:27"
"105","8","American-cidade Dark Lager","2010-06-15 19:42:28"
"106","9","Baltic-cidade Porter","2010-06-15 19:42:40"
"107","9","Australasian-cidade Light Lager","2010-06-15 19:44:09"
"108","9","Latin American-cidade Light Lager","2010-06-15 19:43:29"
"109","9","Tropical-cidade Light Lager","2010-06-15 19:43:37"
"110","10","International-cidade Pilsener","2010-06-15 19:43:49"
"111","10","Dry Lager","2010-06-15 19:43:57"
"112","11","Session fornecedor","2010-06-15 19:45:11"
"113","11","American-cidade Cream Ale or Lager","2010-06-15 19:45:19"
"114","11","California Common fornecedor","2010-06-15 19:45:25"
"115","11","Japanese Sake-Yeast fornecedor","2010-06-15 19:45:34"
"116","11","Light American Wheat Ale or Lager","2010-06-15 19:45:42"
"117","11","Fruit Wheat Ale or Lager","2010-06-15 19:45:58"
"118","11","Dark American Wheat Ale or Lager","2010-06-15 19:46:06"
"119","11","American Rye Ale or Lager","2010-06-15 19:46:14"
"120","11","German-cidade Rye Ale","2010-06-15 19:46:24"
"121","11","Fruit fornecedor","2010-06-15 19:46:33"
"122","11","Field fornecedor","2010-06-15 19:46:41"
"123","11","Pumpkin fornecedor","2010-06-15 19:47:18"
"124","11","Chocolate/Cocoa-pagamentoed fornecedor","2010-06-15 19:47:27"
"125","11","Coffee-pagamentoed fornecedor","2010-06-15 19:47:35"
"126","11","Herb and Spice fornecedor","2010-06-15 19:47:40"
"127","11","Specialty fornecedor","2010-06-15 19:47:48"
"128","11","Specialty Honey Lager or Ale","2010-06-15 19:47:54"
"129","11","Gluten-Free fornecedor","2010-06-15 19:48:01"
"130","11","Smoke fornecedor","2010-06-15 19:48:10"
"131","11","Experimental fornecedor","2010-06-15 19:48:17"
"132","11","Out of Category","2010-06-15 19:48:27"
"133","11","Wood- and Barrel-Aged fornecedor","2010-06-15 19:48:39"
"134","11","Wood- and Barrel-Aged Pale to Amber fornecedor","2010-06-15 19:48:53"
"135","11","Wood- and Barrel-Aged Dark fornecedor","2010-06-15 19:49:01"
"136","11","Wood- and Barrel-Aged Strong fornecedor","2010-06-15 19:49:08"
"137","11","Wood- and Barrel-Aged Sour fornecedor","2010-06-15 19:49:18"
"138","11","Aged fornecedor","2010-06-15 19:49:25"
"139","11","Other Strong Ale or Lager","2010-06-15 19:49:32"
"140","11","Non-Alcoholic fornecedor","2010-06-15 19:49:47"
"141","11","Winter Warmer","2010-07-11 16:43:25"
